0.00.056.555 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.057.069 W srv  llama_server: -----------------
0.00.057.071 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.057.071 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.057.071 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.057.071 W srv  llama_server: -----------------
0.00.058.285 I srv    load_model: loading model '/home/mohab/models/Qwen3.6-27B-UD-Q4_K_XL.gguf'
0.03.015.040 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 12288, kv_unified = 'false'
0.03.017.799 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.03.017.825 I srv  llama_server: model loaded
0.03.017.828 I srv  llama_server: listening on http://127.0.0.1:8080
0.03.017.828 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.03.017.828 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
1.43.273.085 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
3.03.690.130 I slot print_timing: id  0 | task 0 | n_decoded =    407, tg =   6.63 t/s, tg_3s =   6.41 t/s
3.06.806.652 I slot print_timing: id  0 | task 0 | n_decoded =    427, tg =   6.62 t/s, tg_3s =   6.42 t/s
3.09.905.994 I slot print_timing: id  0 | task 0 | n_decoded =    446, tg =   6.59 t/s, tg_3s =   6.13 t/s
3.12.980.322 I slot print_timing: id  0 | task 0 | n_decoded =    466, tg =   6.59 t/s, tg_3s =   6.51 t/s
3.16.026.042 I slot print_timing: id  0 | task 0 | n_decoded =    485, tg =   6.58 t/s, tg_3s =   6.24 t/s
3.19.161.673 I slot print_timing: id  0 | task 0 | n_decoded =    504, tg =   6.55 t/s, tg_3s =   6.06 t/s
3.19.814.343 I slot print_timing: id  0 | task 0 | prompt eval time =   18996.54 ms /  8743 tokens (    2.17 ms per token,   460.24 tokens per second)
3.19.814.346 I slot print_timing: id  0 | task 0 |        eval time =   77544.63 ms /   508 tokens (  152.65 ms per token,     6.55 tokens per second)
3.19.814.347 I slot print_timing: id  0 | task 0 |       total time =   96541.17 ms /  9251 tokens
3.19.814.353 I slot print_timing: id  0 | task 0 |    graphs reused =        505
3.19.814.605 I slot      release: id  0 | task 0 | stop processing: n_tokens = 9250, truncated = 0
3.20.638.462 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 286853552788
3.20.879.439 I slot launch_slot_: id  0 | task 515 | processing task, is_child = 0
3.24.693.211 I slot print_timing: id  0 | task 515 | prompt processing, n_tokens =   2048, progress = 0.29, t =   3.81 s / 537.00 tokens per second
3.28.620.045 I slot print_timing: id  0 | task 515 | prompt processing, n_tokens =   4096, progress = 0.58, t =   7.74 s / 529.16 tokens per second
3.32.576.181 I slot print_timing: id  0 | task 515 | prompt processing, n_tokens =   6144, progress = 0.87, t =  11.70 s / 525.28 tokens per second
3.33.557.574 I slot print_timing: id  0 | task 515 | prompt processing, n_tokens =   6560, progress = 0.93, t =  12.68 s / 517.43 tokens per second
3.34.561.418 I slot print_timing: id  0 | task 515 | prompt processing, n_tokens =   7072, progress = 1.00, t =  13.68 s / 516.88 tokens per second
3.50.088.179 I slot print_timing: id  0 | task 515 | n_decoded =    100, tg =   6.65 t/s, tg_3s =   6.65 t/s
3.53.217.031 I slot print_timing: id  0 | task 515 | n_decoded =    120, tg =   6.61 t/s, tg_3s =   6.39 t/s
3.56.263.854 I slot print_timing: id  0 | task 515 | n_decoded =    142, tg =   6.70 t/s, tg_3s =   7.22 t/s
3.59.367.568 I slot print_timing: id  0 | task 515 | n_decoded =    163, tg =   6.71 t/s, tg_3s =   6.77 t/s
4.02.484.468 I slot print_timing: id  0 | task 515 | n_decoded =    184, tg =   6.71 t/s, tg_3s =   6.74 t/s
4.05.567.181 I slot print_timing: id  0 | task 515 | n_decoded =    205, tg =   6.72 t/s, tg_3s =   6.81 t/s
4.08.680.695 I slot print_timing: id  0 | task 515 | n_decoded =    224, tg =   6.66 t/s, tg_3s =   6.10 t/s
4.11.747.164 I slot print_timing: id  0 | task 515 | n_decoded =    243, tg =   6.62 t/s, tg_3s =   6.20 t/s
4.14.796.063 I slot print_timing: id  0 | task 515 | n_decoded =    264, tg =   6.64 t/s, tg_3s =   6.89 t/s
4.17.878.927 I slot print_timing: id  0 | task 515 | n_decoded =    283, tg =   6.61 t/s, tg_3s =   6.16 t/s
4.20.966.022 I slot print_timing: id  0 | task 515 | n_decoded =    303, tg =   6.60 t/s, tg_3s =   6.48 t/s
4.24.088.273 I slot print_timing: id  0 | task 515 | n_decoded =    324, tg =   6.61 t/s, tg_3s =   6.73 t/s
4.27.143.351 I slot print_timing: id  0 | task 515 | n_decoded =    343, tg =   6.59 t/s, tg_3s =   6.22 t/s
4.30.168.627 I slot print_timing: id  0 | task 515 | n_decoded =    364, tg =   6.61 t/s, tg_3s =   6.94 t/s
4.33.256.020 I slot print_timing: id  0 | task 515 | n_decoded =    383, tg =   6.58 t/s, tg_3s =   6.15 t/s
4.36.389.699 I slot print_timing: id  0 | task 515 | n_decoded =    403, tg =   6.57 t/s, tg_3s =   6.38 t/s
4.39.426.390 I slot print_timing: id  0 | task 515 | n_decoded =    423, tg =   6.57 t/s, tg_3s =   6.59 t/s
4.42.431.612 I slot print_timing: id  0 | task 515 | n_decoded =    442, tg =   6.56 t/s, tg_3s =   6.32 t/s
4.45.435.585 I slot print_timing: id  0 | task 515 | n_decoded =    463, tg =   6.58 t/s, tg_3s =   6.99 t/s
4.48.576.918 I slot print_timing: id  0 | task 515 | n_decoded =    484, tg =   6.58 t/s, tg_3s =   6.69 t/s
4.51.613.311 I slot print_timing: id  0 | task 515 | n_decoded =    504, tg =   6.58 t/s, tg_3s =   6.59 t/s
4.52.700.141 I slot print_timing: id  0 | task 515 | prompt eval time =   14181.83 ms /  7076 tokens (    2.00 ms per token,   498.95 tokens per second)
4.52.700.144 I slot print_timing: id  0 | task 515 |        eval time =   77638.85 ms /   512 tokens (  151.64 ms per token,     6.59 tokens per second)
4.52.700.144 I slot print_timing: id  0 | task 515 |       total time =   91820.68 ms /  7588 tokens
4.52.700.145 I slot print_timing: id  0 | task 515 |    graphs reused =       1013
4.52.700.331 I slot      release: id  0 | task 515 | stop processing: n_tokens = 7587, truncated = 0
4.52.799.936 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 286946438514
4.53.014.760 I slot launch_slot_: id  0 | task 1033 | processing task, is_child = 0
4.56.838.271 I slot print_timing: id  0 | task 1033 | prompt processing, n_tokens =   2048, progress = 0.27, t =   3.82 s / 535.64 tokens per second
5.00.750.069 I slot print_timing: id  0 | task 1033 | prompt processing, n_tokens =   4096, progress = 0.54, t =   7.74 s / 529.52 tokens per second
5.04.695.601 I slot print_timing: id  0 | task 1033 | prompt processing, n_tokens =   6144, progress = 0.81, t =  11.68 s / 525.99 tokens per second
5.06.675.956 I slot print_timing: id  0 | task 1033 | prompt processing, n_tokens =   7073, progress = 0.93, t =  13.66 s / 517.74 tokens per second
5.07.679.229 I slot print_timing: id  0 | task 1033 | prompt processing, n_tokens =   7585, progress = 1.00, t =  14.66 s / 517.24 tokens per second
5.22.246.933 I slot print_timing: id  0 | task 1033 | n_decoded =    100, tg =   7.10 t/s, tg_3s =   7.10 t/s
5.25.353.611 I slot print_timing: id  0 | task 1033 | n_decoded =    120, tg =   6.98 t/s, tg_3s =   6.44 t/s
5.28.486.286 I slot print_timing: id  0 | task 1033 | n_decoded =    141, tg =   6.94 t/s, tg_3s =   6.70 t/s
5.31.537.253 I slot print_timing: id  0 | task 1033 | n_decoded =    162, tg =   6.93 t/s, tg_3s =   6.88 t/s
5.34.610.757 I slot print_timing: id  0 | task 1033 | n_decoded =    181, tg =   6.85 t/s, tg_3s =   6.18 t/s
5.37.665.841 I slot print_timing: id  0 | task 1033 | n_decoded =    202, tg =   6.85 t/s, tg_3s =   6.87 t/s
5.40.789.215 I slot print_timing: id  0 | task 1033 | n_decoded =    221, tg =   6.78 t/s, tg_3s =   6.08 t/s
5.43.880.754 I slot print_timing: id  0 | task 1033 | n_decoded =    242, tg =   6.78 t/s, tg_3s =   6.79 t/s
5.46.908.087 I slot print_timing: id  0 | task 1033 | n_decoded =    261, tg =   6.74 t/s, tg_3s =   6.28 t/s
5.50.003.156 I slot print_timing: id  0 | task 1033 | n_decoded =    282, tg =   6.74 t/s, tg_3s =   6.78 t/s
5.53.098.339 I slot print_timing: id  0 | task 1033 | n_decoded =    301, tg =   6.70 t/s, tg_3s =   6.14 t/s
5.56.189.973 I slot print_timing: id  0 | task 1033 | n_decoded =    320, tg =   6.66 t/s, tg_3s =   6.15 t/s
5.59.212.446 I slot print_timing: id  0 | task 1033 | n_decoded =    339, tg =   6.64 t/s, tg_3s =   6.29 t/s
6.02.347.635 I slot print_timing: id  0 | task 1033 | n_decoded =    360, tg =   6.65 t/s, tg_3s =   6.70 t/s
6.05.406.526 I slot print_timing: id  0 | task 1033 | n_decoded =    380, tg =   6.64 t/s, tg_3s =   6.54 t/s
6.08.503.367 I slot print_timing: id  0 | task 1033 | n_decoded =    400, tg =   6.63 t/s, tg_3s =   6.46 t/s
6.11.551.260 I slot print_timing: id  0 | task 1033 | n_decoded =    421, tg =   6.64 t/s, tg_3s =   6.89 t/s
6.14.686.655 I slot print_timing: id  0 | task 1033 | n_decoded =    441, tg =   6.63 t/s, tg_3s =   6.38 t/s
6.17.722.833 I slot print_timing: id  0 | task 1033 | n_decoded =    461, tg =   6.63 t/s, tg_3s =   6.59 t/s
6.20.766.477 I slot print_timing: id  0 | task 1033 | n_decoded =    482, tg =   6.64 t/s, tg_3s =   6.90 t/s
6.23.864.918 I slot print_timing: id  0 | task 1033 | n_decoded =    501, tg =   6.62 t/s, tg_3s =   6.13 t/s
6.25.658.583 I slot print_timing: id  0 | task 1033 | prompt eval time =   15157.20 ms /  7589 tokens (    2.00 ms per token,   500.69 tokens per second)
6.25.658.588 I slot print_timing: id  0 | task 1033 |        eval time =   77486.60 ms /   512 tokens (  151.34 ms per token,     6.61 tokens per second)
6.25.658.588 I slot print_timing: id  0 | task 1033 |       total time =   92643.80 ms /  8101 tokens
6.25.658.589 I slot print_timing: id  0 | task 1033 |    graphs reused =       1521
6.25.658.878 I slot      release: id  0 | task 1033 | stop processing: n_tokens = 8100, truncated = 0
6.44.233.919 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 287039397061
6.44.711.092 I slot launch_slot_: id  0 | task 1551 | processing task, is_child = 0
6.59.678.404 I slot print_timing: id  0 | task 1551 | n_decoded =    100, tg =   7.02 t/s, tg_3s =   7.02 t/s
7.02.811.461 I slot print_timing: id  0 | task 1551 | n_decoded =    122, tg =   7.02 t/s, tg_3s =   7.02 t/s
7.05.952.899 I slot print_timing: id  0 | task 1551 | n_decoded =    142, tg =   6.92 t/s, tg_3s =   6.37 t/s
7.09.017.013 I slot print_timing: id  0 | task 1551 | n_decoded =    161, tg =   6.83 t/s, tg_3s =   6.20 t/s
7.12.017.046 I slot print_timing: id  0 | task 1551 | n_decoded =    182, tg =   6.84 t/s, tg_3s =   7.00 t/s
7.15.046.222 I slot print_timing: id  0 | task 1551 | n_decoded =    203, tg =   6.85 t/s, tg_3s =   6.93 t/s
7.18.163.537 I slot print_timing: id  0 | task 1551 | n_decoded =    224, tg =   6.84 t/s, tg_3s =   6.74 t/s
7.21.194.063 I slot print_timing: id  0 | task 1551 | n_decoded =    244, tg =   6.82 t/s, tg_3s =   6.60 t/s
7.24.331.517 I slot print_timing: id  0 | task 1551 | n_decoded =    265, tg =   6.81 t/s, tg_3s =   6.69 t/s
7.27.347.158 I slot print_timing: id  0 | task 1551 | n_decoded =    284, tg =   6.77 t/s, tg_3s =   6.30 t/s
7.30.437.306 I slot print_timing: id  0 | task 1551 | n_decoded =    303, tg =   6.73 t/s, tg_3s =   6.15 t/s
7.33.497.402 I slot print_timing: id  0 | task 1551 | n_decoded =    324, tg =   6.74 t/s, tg_3s =   6.86 t/s
7.36.578.927 I slot print_timing: id  0 | task 1551 | n_decoded =    343, tg =   6.71 t/s, tg_3s =   6.17 t/s
7.39.674.508 I slot print_timing: id  0 | task 1551 | n_decoded =    362, tg =   6.67 t/s, tg_3s =   6.14 t/s
7.42.748.553 I slot print_timing: id  0 | task 1551 | n_decoded =    383, tg =   6.68 t/s, tg_3s =   6.83 t/s
7.45.856.661 I slot print_timing: id  0 | task 1551 | n_decoded =    402, tg =   6.65 t/s, tg_3s =   6.11 t/s
7.48.924.264 I slot print_timing: id  0 | task 1551 | n_decoded =    422, tg =   6.65 t/s, tg_3s =   6.52 t/s
7.52.003.460 I slot print_timing: id  0 | task 1551 | n_decoded =    442, tg =   6.64 t/s, tg_3s =   6.50 t/s
7.55.032.770 I slot print_timing: id  0 | task 1551 | n_decoded =    462, tg =   6.64 t/s, tg_3s =   6.60 t/s
7.58.130.682 I slot print_timing: id  0 | task 1551 | n_decoded =    482, tg =   6.63 t/s, tg_3s =   6.46 t/s
8.01.202.985 I slot print_timing: id  0 | task 1551 | n_decoded =    501, tg =   6.61 t/s, tg_3s =   6.18 t/s
8.02.746.884 I slot print_timing: id  0 | task 1551 | prompt eval time =     716.32 ms /     4 tokens (  179.08 ms per token,     5.58 tokens per second)
8.02.746.886 I slot print_timing: id  0 | task 1551 |        eval time =   77319.45 ms /   512 tokens (  151.01 ms per token,     6.62 tokens per second)
8.02.746.887 I slot print_timing: id  0 | task 1551 |       total time =   78035.77 ms /   516 tokens
8.02.746.887 I slot print_timing: id  0 | task 1551 |    graphs reused =       2029
8.02.747.088 I slot      release: id  0 | task 1551 | stop processing: n_tokens = 7587, truncated = 0
8.17.627.460 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 287136485271
8.17.939.774 I slot launch_slot_: id  0 | task 2064 | processing task, is_child = 0
8.22.311.200 I slot print_timing: id  0 | task 2064 | prompt eval time =    3082.16 ms /    50 tokens (   61.64 ms per token,    16.22 tokens per second)
8.22.311.203 I slot print_timing: id  0 | task 2064 |        eval time =    1289.24 ms /    12 tokens (  107.44 ms per token,     9.31 tokens per second)
8.22.311.203 I slot print_timing: id  0 | task 2064 |       total time =    4371.40 ms /    62 tokens
8.22.311.204 I slot print_timing: id  0 | task 2064 |    graphs reused =       2039
8.22.311.222 I slot      release: id  0 | task 2064 | stop processing: n_tokens = 61, truncated = 0
8.22.314.294 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.820
8.22.314.529 I slot launch_slot_: id  0 | task 2078 | processing task, is_child = 0
8.28.238.690 I slot print_timing: id  0 | task 2078 | prompt eval time =     237.25 ms /     4 tokens (   59.31 ms per token,    16.86 tokens per second)
8.28.238.693 I slot print_timing: id  0 | task 2078 |        eval time =    5686.90 ms /    43 tokens (  132.25 ms per token,     7.56 tokens per second)
8.28.238.694 I slot print_timing: id  0 | task 2078 |       total time =    5924.15 ms /    47 tokens
8.28.238.694 I slot print_timing: id  0 | task 2078 |    graphs reused =       2080
8.28.238.715 I slot      release: id  0 | task 2078 | stop processing: n_tokens = 92, truncated = 0
9.05.883.699 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 287161976898
9.06.178.436 I slot launch_slot_: id  0 | task 2122 | processing task, is_child = 0
9.11.329.797 I slot print_timing: id  0 | task 2122 | prompt eval time =     622.64 ms /     4 tokens (  155.66 ms per token,     6.42 tokens per second)
9.11.329.800 I slot print_timing: id  0 | task 2122 |        eval time =    4528.70 ms /    34 tokens (  133.20 ms per token,     7.51 tokens per second)
9.11.329.800 I slot print_timing: id  0 | task 2122 |       total time =    5151.34 ms /    38 tokens
9.11.329.801 I slot print_timing: id  0 | task 2122 |    graphs reused =       2112
9.11.330.026 I slot      release: id  0 | task 2122 | stop processing: n_tokens = 7109, truncated = 0
9.11.432.849 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 287205068209
9.11.704.327 I slot launch_slot_: id  0 | task 2157 | processing task, is_child = 0
9.17.306.146 I slot print_timing: id  0 | task 2157 | prompt eval time =     341.57 ms /     4 tokens (   85.39 ms per token,    11.71 tokens per second)
9.17.306.149 I slot print_timing: id  0 | task 2157 |        eval time =    5260.23 ms /    34 tokens (  154.71 ms per token,     6.46 tokens per second)
9.17.306.149 I slot print_timing: id  0 | task 2157 |       total time =    5601.80 ms /    38 tokens
9.17.306.150 I slot print_timing: id  0 | task 2157 |    graphs reused =       2144
9.17.306.384 I slot      release: id  0 | task 2157 | stop processing: n_tokens = 7622, truncated = 0
9.17.442.608 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 287211044567
9.17.658.870 I slot launch_slot_: id  0 | task 2192 | processing task, is_child = 0
9.21.543.905 I slot print_timing: id  0 | task 2192 | prompt processing, n_tokens =   2048, progress = 0.30, t =   3.89 s / 527.15 tokens per second
9.25.424.035 I slot print_timing: id  0 | task 2192 | prompt processing, n_tokens =   4096, progress = 0.60, t =   7.77 s / 527.49 tokens per second
9.29.365.416 I slot print_timing: id  0 | task 2192 | prompt processing, n_tokens =   6144, progress = 0.89, t =  11.71 s / 524.84 tokens per second
9.30.277.640 I slot print_timing: id  0 | task 2192 | prompt processing, n_tokens =   6349, progress = 0.92, t =  12.62 s / 503.14 tokens per second
9.31.164.289 I slot print_timing: id  0 | task 2192 | prompt processing, n_tokens =   6861, progress = 1.00, t =  13.51 s / 508.02 tokens per second
9.36.666.841 I slot print_timing: id  0 | task 2192 | prompt eval time =   13983.67 ms /  6865 tokens (    2.04 ms per token,   490.93 tokens per second)
9.36.666.846 I slot print_timing: id  0 | task 2192 |        eval time =    5024.27 ms /    38 tokens (  132.22 ms per token,     7.56 tokens per second)
9.36.666.847 I slot print_timing: id  0 | task 2192 |       total time =   19007.95 ms /  6903 tokens
9.36.666.847 I slot print_timing: id  0 | task 2192 |    graphs reused =       2180
9.36.667.135 I slot      release: id  0 | task 2192 | stop processing: n_tokens = 6902, truncated = 0
